version,method,path,controller,action,middleware,source
"WEB","GET","/{subscribe_path}/{token}","App\Http\Controllers\V1\Client\ClientController","subscribe","web, client","routes/web.php:90"
"WEB","GET","/{secure_path}","Closure","admin dashboard","web","routes/web.php:77"
"WEB","GET","/","Closure","frontend dashboard","web","routes/web.php:22"
"V1","GET","/api/v1/client/subscribe","App\Http\Controllers\V1\Client\ClientController","subscribe","api, client","app/Http/Routes/V1/ClientRoute.php:17"
"V1","GET","/api/v1/client/app/getConfig","App\Http\Controllers\V1\Client\AppController","getConfig","api, client","app/Http/Routes/V1/ClientRoute.php:19"
"V1","GET","/api/v1/client/app/getVersion","App\Http\Controllers\V1\Client\AppController","getVersion","api, client","app/Http/Routes/V1/ClientRoute.php:20"
"V1","GET","/api/v1/guest/plan/fetch","App\Http\Controllers\V1\Guest\PlanController","fetch","api","app/Http/Routes/V1/GuestRoute.php:18"
"V1","POST","/api/v1/guest/telegram/webhook","App\Http\Controllers\V1\Guest\TelegramController","webhook","api","app/Http/Routes/V1/GuestRoute.php:20"
"V1","GET|POST","/api/v1/guest/payment/notify/{method}/{uuid}","App\Http\Controllers\V1\Guest\PaymentController","notify","api","app/Http/Routes/V1/GuestRoute.php:22"
"V1","GET","/api/v1/guest/comm/config","App\Http\Controllers\V1\Guest\CommController","config","api","app/Http/Routes/V1/GuestRoute.php:24"
"V1","POST","/api/v1/passport/auth/register","App\Http\Controllers\V1\Passport\AuthController","register","api","app/Http/Routes/V1/PassportRoute.php:16"
"V1","POST","/api/v1/passport/auth/login","App\Http\Controllers\V1\Passport\AuthController","login","api","app/Http/Routes/V1/PassportRoute.php:17"
"V1","GET","/api/v1/passport/auth/token2Login","App\Http\Controllers\V1\Passport\AuthController","token2Login","api","app/Http/Routes/V1/PassportRoute.php:18"
"V1","POST","/api/v1/passport/auth/forget","App\Http\Controllers\V1\Passport\AuthController","forget","api","app/Http/Routes/V1/PassportRoute.php:19"
"V1","POST","/api/v1/passport/auth/getQuickLoginUrl","App\Http\Controllers\V1\Passport\AuthController","getQuickLoginUrl","api","app/Http/Routes/V1/PassportRoute.php:20"
"V1","POST","/api/v1/passport/auth/loginWithMailLink","App\Http\Controllers\V1\Passport\AuthController","loginWithMailLink","api","app/Http/Routes/V1/PassportRoute.php:21"
"V1","POST","/api/v1/passport/comm/sendEmailVerify","App\Http\Controllers\V1\Passport\CommController","sendEmailVerify","api","app/Http/Routes/V1/PassportRoute.php:23"
"V1","POST","/api/v1/passport/comm/pv","App\Http\Controllers\V1\Passport\CommController","pv","api","app/Http/Routes/V1/PassportRoute.php:24"
"V1","GET","/api/v1/server/UniProxy/config","App\Http\Controllers\V1\Server\UniProxyController","config","api, server","app/Http/Routes/V1/ServerRoute.php:21"
"V1","GET","/api/v1/server/UniProxy/user","App\Http\Controllers\V1\Server\UniProxyController","user","api, server","app/Http/Routes/V1/ServerRoute.php:22"
"V1","POST","/api/v1/server/UniProxy/push","App\Http\Controllers\V1\Server\UniProxyController","push","api, server","app/Http/Routes/V1/ServerRoute.php:23"
"V1","POST","/api/v1/server/UniProxy/alive","App\Http\Controllers\V1\Server\UniProxyController","alive","api, server","app/Http/Routes/V1/ServerRoute.php:24"
"V1","GET","/api/v1/server/UniProxy/alivelist","App\Http\Controllers\V1\Server\UniProxyController","alivelist","api, server","app/Http/Routes/V1/ServerRoute.php:25"
"V1","POST","/api/v1/server/UniProxy/status","App\Http\Controllers\V1\Server\UniProxyController","status","api, server","app/Http/Routes/V1/ServerRoute.php:26"
"V1","GET","/api/v1/server/ShadowsocksTidalab/user","App\Http\Controllers\V1\Server\ShadowsocksTidalabController","user","api, server:shadowsocks","app/Http/Routes/V1/ServerRoute.php:32"
"V1","POST","/api/v1/server/ShadowsocksTidalab/submit","App\Http\Controllers\V1\Server\ShadowsocksTidalabController","submit","api, server:shadowsocks","app/Http/Routes/V1/ServerRoute.php:33"
"V1","GET","/api/v1/server/TrojanTidalab/config","App\Http\Controllers\V1\Server\TrojanTidalabController","config","api, server:trojan","app/Http/Routes/V1/ServerRoute.php:39"
"V1","GET","/api/v1/server/TrojanTidalab/user","App\Http\Controllers\V1\Server\TrojanTidalabController","user","api, server:trojan","app/Http/Routes/V1/ServerRoute.php:40"
"V1","POST","/api/v1/server/TrojanTidalab/submit","App\Http\Controllers\V1\Server\TrojanTidalabController","submit","api, server:trojan","app/Http/Routes/V1/ServerRoute.php:41"
"V1","GET","/api/v1/user/resetSecurity","App\Http\Controllers\V1\User\UserController","resetSecurity","api, user","app/Http/Routes/V1/UserRoute.php:28"
